universe_version,symbol,active,frozen_date
S&P100_FROZEN_2026-08-26,DIS,True,2026-08-26
S&P100_FROZEN_2026-08-26,DOW,True,2026-08-26
S&P100_FROZEN_2026-08-26,DUK,True,2026-08-26
S&P100_FROZEN_2026-08-26,EMR,True,2026-08-26
S&P100_FROZEN_2026-08-26,EXC,True,2026-08-26
S&P100_FROZEN_2026-08-26,F,True,2026-08-26
S&P100_FROZEN_2026-08-26,FDX,True,2026-08-26
S&P100_FROZEN_2026-08-26,GD,True,2026-08-26
S&P100_FROZEN_2026-08-26,GE,True,2026-08-26
S&P100_FROZEN_2026-08-26,GILD,True,2026-08-26
S&P100_FROZEN_2026-08-26,GM,True,2026-08-26
S&P100_FROZEN_2026-08-26,GOOG,True,2026-08-26
S&P100_FROZEN_2026-08-26,GOOGL,True,2026-08-26
S&P100_FROZEN_2026-08-26,GS,True,2026-08-26
S&P100_FROZEN_2026-08-26,HD,True,2026-08-26
S&P100_FROZEN_2026-08-26,HON,True,2026-08-26
S&P100_FROZEN_2026-08-26,IBM,True,2026-08-26
S&P100_FROZEN_2026-08-26,INTC,True,2026-08-26
S&P100_FROZEN_2026-08-26,JNJ,True,2026-08-26
S&P100_FROZEN_2026-08-26,JPM,True,2026-08-26
S&P100_FROZEN_2026-08-26,KO,True,2026-08-26
S&P100_FROZEN_2026-08-26,LIN,True,2026-08-26
S&P100_FROZEN_2026-08-26,LLY,True,2026-08-26
S&P100_FROZEN_2026-08-26,LMT,True,2026-08-26
S&P100_FROZEN_2026-08-26,LOW,True,2026-08-26
S&P100_FROZEN_2026-08-26,MA,True,2026-08-26
S&P100_FROZEN_2026-08-26,MCD,True,2026-08-26
S&P100_FROZEN_2026-08-26,MDLZ,True,2026-08-26
S&P100_FROZEN_2026-08-26,MDT,True,2026-08-26
S&P100_FROZEN_2026-08-26,MET,True,2026-08-26
S&P100_FROZEN_2026-08-26,META,True,2026-08-26
S&P100_FROZEN_2026-08-26,MMM,True,2026-08-26
S&P100_FROZEN_2026-08-26,MO,True,2026-08-26
S&P100_FROZEN_2026-08-26,MRK,True,2026-08-26
S&P100_FROZEN_2026-08-26,MS,True,2026-08-26
S&P100_FROZEN_2026-08-26,MSFT,True,2026-08-26
S&P100_FROZEN_2026-08-26,NEE,True,2026-08-26
S&P100_FROZEN_2026-08-26,NFLX,True,2026-08-26
S&P100_FROZEN_2026-08-26,NKE,True,2026-08-26
S&P100_FROZEN_2026-08-26,NOW,True,2026-08-26
S&P100_FROZEN_2026-08-26,NVDA,True,2026-08-26
S&P100_FROZEN_2026-08-26,ORCL,True,2026-08-26
S&P100_FROZEN_2026-08-26,PEP,True,2026-08-26
S&P100_FROZEN_2026-08-26,PFE,True,2026-08-26
S&P100_FROZEN_2026-08-26,PG,True,2026-08-26
S&P100_FROZEN_2026-08-26,PLTR,True,2026-08-26
S&P100_FROZEN_2026-08-26,PM,True,2026-08-26
S&P100_FROZEN_2026-08-26,PYPL,True,2026-08-26
S&P100_FROZEN_2026-08-26,QCOM,True,2026-08-26
S&P100_FROZEN_2026-08-26,RTX,True,2026-08-26
S&P100_FROZEN_2026-08-26,SBUX,True,2026-08-26
S&P100_FROZEN_2026-08-26,SCHW,True,2026-08-26
S&P100_FROZEN_2026-08-26,SO,True,2026-08-26
S&P100_FROZEN_2026-08-26,SPG,True,2026-08-26
S&P100_FROZEN_2026-08-26,T,True,2026-08-26
S&P100_FROZEN_2026-08-26,TGT,True,2026-08-26
S&P100_FROZEN_2026-08-26,TMO,True,2026-08-26
S&P100_FROZEN_2026-08-26,TMUS,True,2026-08-26
S&P100_FROZEN_2026-08-26,TSLA,True,2026-08-26
S&P100_FROZEN_2026-08-26,TXN,True,2026-08-26
S&P100_FROZEN_2026-08-26,UNH,True,2026-08-26
S&P100_FROZEN_2026-08-26,UNP,True,2026-08-26
S&P100_FROZEN_2026-08-26,UPS,True,2026-08-26
S&P100_FROZEN_2026-08-26,USB,True,2026-08-26
S&P100_FROZEN_2026-08-26,V,True,2026-08-26
S&P100_FROZEN_2026-08-26,VZ,True,2026-08-26
S&P100_FROZEN_2026-08-26,WFC,True,2026-08-26
S&P100_FROZEN_2026-08-26,WMT,True,2026-08-26
S&P100_FROZEN_2026-08-26,XOM,True,2026-08-26
